id,Election_Data,Electoral_Votes,Election
43,"{""Candidate"": [""John F. Kennedy"", ""Richard M. Nixon"", ""Harry F. Byrd""], ""Party"": [""Democratic"", ""Republican"", ""Democratic""], ""Electoral Votes"": [303, 219, 15]}","[303, 219, 15]",1960
44,"{""Candidate"": [""Lyndon B. Johnson (I)"", ""Barry M. Goldwater""], ""Party"": [""Democratic"", ""Republican""], ""Electoral Votes"": [486, 52]}","[486, 52]",1964
45,"{""Candidate"": [""Richard M. Nixon"", ""Hubert H. Humphrey"", ""George C. Wallace""], ""Party"": [""Republican"", ""Democratic"", ""American Independent""], ""Electoral Votes"": [302, 191, 45]}","[302, 191, 45]",1968
46,"{""Candidate"": [""Richard M. Nixon (I)"", ""George McGovern"", ""Other: See Election Facts Below""], ""Party"": [""Republican"", ""Democratic"", """"], ""Electoral Votes"": [521, 17]}","[521, 17]",1972
47,"{""Candidate"": [""Jimmy Carter"", ""Gerald R. Ford (I)"", ""Other: See Election Facts Below""], ""Party"": [""Democratic"", ""Republican"", """"], ""Electoral Votes"": [297, 241]}","[297, 241]",1976
48,"{""Candidate"": [""Ronald Reagan"", ""Jimmy Carter (I)"", ""John Anderson"", ""Ed Clark""], ""Party"": [""Republican"", ""Democratic"", ""Independent"", ""Libertarian""], ""Electoral Votes"": [489, 49, 0, 0]}","[489, 49, 0, 0]",1980
49,"{""Candidate"": [""Ronald Reagan (I)"", ""Walter F. Mondale""], ""Party"": [""Republican"", ""Democratic""], ""Electoral Votes"": [525, 13]}","[525, 13]",1984
50,"{""Candidate"": [""George Bush"", ""Michael S. Dukakis"", ""Other: See Election Facts Below""], ""Party"": [""Republican"", ""Democratic"", """"], ""Electoral Votes"": [426, 112]}","[426, 112]",1988
51,"{""Candidate"": [""William J. Clinton"", ""George Bush (I)"", ""Ross Perot""], ""Party"": [""Democratic"", ""Republican"", ""Independent""], ""Electoral Votes"": [370, 168, 0]}","[370, 168, 0]",1992
52,"{""Candidate"": [""William J. Clinton (I)"", ""Robert Dole"", ""Ross Perot""], ""Party"": [""Democratic"", ""Republican"", ""Reform""], ""Electoral Votes"": [379, 159, 0]}","[379, 159, 0]",1996
53,"{""Candidate"": [""George W. Bush"", ""Albert Gore, Jr."", ""Ralph Nader"", ""Other: See Election Facts Below""], ""Party"": [""Republican"", ""Democratic"", ""Green"", """"], ""Electoral Votes"": [271, 267]}","[271, 267]",2000
54,"{""Candidate"": [""George W. Bush (I)"", ""John F. Kerry"", ""Other: See Election Facts Below""], ""Party"": [""Republican"", ""Democratic"", """"], ""Electoral Votes"": [286, 252]}","[286, 252]",2004
55,"{""Candidate"": [""Barack H. Obama"", ""John S. McCain""], ""Party"": [""Democratic"", ""Republican""], ""Electoral Votes"": [365, 173]}","[365, 173]",2008
56,"{""Candidate"": [""Barack H. Obama (I)"", ""W. Mitt Romney"", ""Gary Johnson""], ""Party"": [""Democratic"", ""Republican"", ""Libertarian""], ""Electoral Votes"": [332, 206, 0]}","[332, 206, 0]",2012
57,"{""Candidate"": [""Donald J. Trump"", ""Hillary R. Clinton"", ""Gary Johnson"", ""Jill Stein"", ""Evan McMullin"", ""Other: See Election Facts Below""], ""Party"": [""Republican"", ""Democratic"", ""Libertarian"", ""Green"", ""Independent"", """"], ""Electoral Votes"": [306, 232]}","[306, 232]",2016
58,"{""Candidate"": [""Joseph R. Biden"", ""Donald J. Trump (I)"", ""Jo Jorgensen""], ""Party"": [""Democratic"", ""Republican"", ""Libertarian""], ""Electoral Votes"": [306, 232, 0]}","[306, 232, 0]",2020
